artwork_title,artist,first_name,surname,country_of_origin,artist_biography,website_artist,description,price,medium,genre,style,subject,colour,artwork_image,artwork_link,dimensions,year,image_url,currency,tags
Celestial Whisper,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Two ethereal figures with angelic wings are depicted in a serene sky, surrounded by delicate flowers. The composition is reminiscent of classical frescoes with a soft, dreamlike quality. The use of pastel colors and flowing garments enhances the celestial and peaceful mood.",Not for sale,Mixed Media,Figurative Art,Classical,Angels,Light blue,Angels1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""angels"",""fresco"",""classical"",""ethereal"",""flowers""]"
Radiance in Flight,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Four ethereal angels soar through a vibrant azure sky, surrounded by soft, billowing clouds. The composition captures a sense of divine movement and grace, reminiscent of Baroque celestial scenes. The use of light and shadow enhances the heavenly atmosphere, with golden hues radiating from the center.",Not for sale,Oil Painting,Religious Art,Baroque,Angels,Blue,Angels2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""angels"",""sky"",""clouds"",""Baroque"",""religious""]"
Scarlet Hair,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A young figure with bright red hair sits on a yellow scooter, gazing at a cityscape filled with pastel-colored buildings and a prominent tower under a clear blue sky. The composition captures a sense of adventure and exploration, with a blend of urban and serene elements. The use of soft, muted colors and detailed line work is reminiscent of contemporary digital art styles, echoing influences from Japanese anime and manga.",Not for sale,Digital Art,Digital Art,Anime,Urban exploration,Pastel,Anime1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""anime"",""urban"",""scooter"",""cityscape"",""pastel""]"
The Journey,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A young character rides a scooter through an urban landscape, surrounded by pastel-colored buildings and a bright blue sky. The use of soft, blended colors and dynamic composition is reminiscent of contemporary digital anime art, capturing a sense of youthful adventure and freedom.",Not for sale,Digital Art,Digital Art,Anime,Character on a scooter in an urban setting,Sky blue,Anime2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""anime"",""urban"",""scooter"",""youth"",""pastel""]"
Garden in Motion,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant swirls of thickly applied paint create a dynamic composition of abstract floral forms, reminiscent of Impressionist techniques with a modern twist. The energetic brushstrokes and bold color palette evoke a sense of movement and vitality.",Not for sale,Oil Painting,Abstract,Impasto,Abstract floral forms,Multicolored with dominant blues and oranges,ConceptualArt1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""floral"",""impasto"",""vibrant"",""textured""]"
Orbit of Color,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A vibrant array of overlapping circles in various sizes and colors, creating a dynamic and energetic composition. The use of thick, textured paint and bold hues is reminiscent of Abstract Expressionism, evoking a sense of movement and spontaneity. The arrangement of shapes and colors suggests a playful exploration of form and space.",Not for sale,Oil Painting,Abstract,Abstract Expressionism,Geometric shapes,Red,ConceptualArt2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""circles"",""texture"",""vibrant"",""dynamic"",""expressionism""]"
Blue Skull in White Silence,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A skull rendered with bold, impasto strokes of blue and white, creating a textured, almost sculptural effect. The composition is minimalistic with a stark white background, emphasizing the vibrant colors and brushwork. The piece echoes elements of contemporary expressionism, focusing on form and color rather than detail.",Not for sale,Oil Painting,Abstract,Expressionism,Skull,Blue,ConceptualArt3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""skull"",""impasto"",""expressionism"",""blue"",""abstract""]"
Primal Skull Bloom,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A vibrant and textured composition featuring a skull motif in the center, rendered with thick, expressive brushstrokes. The use of bold colors like pink, red, and blue creates a dynamic contrast against a predominantly white background. The piece evokes a raw, primal energy reminiscent of Neo-Expressionism, with hints of street art influences in its chaotic yet deliberate execution.",Not for sale,Oil Painting,Abstract,Neo-Expressionism,Skull,Pink,ContemporaryPrimitive1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""skull"",""expressionism"",""abstract"",""texture"",""vibrant""]"
Crown of Chaos,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Chaotic and vibrant composition featuring a central abstract figure with colorful, spiky hair, reminiscent of Neo-Expressionist techniques. The background is filled with scattered, childlike doodles and splashes of color, echoing the raw, primitive style of Jean-Michel Basquiat.",Not for sale,Acrylic on canvas,Abstract,Neo-Expressionism,Abstract figure,White,ContemporaryPrimitive2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""primitive"",""colorful"",""expressionism"",""doodles""]"
Blocks for a King,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant blocks of color and abstract forms create a playful composition reminiscent of Jean-Michel Basquiat's neo-expressionist style. The central figure, with exaggerated features and childlike simplicity, adds a whimsical touch amidst the textured background. Bold, contrasting colors like pink, blue, and yellow dominate the canvas, enhancing the dynamic and energetic mood.",Not for sale,Acrylic Painting,Abstract,Neo-Expressionism,Abstract figure,Pink,ContemporaryPrimitive3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""colorful"",""expressionist"",""figure"",""playful""]"
Fractured Perspectives,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Geometric shapes and fragmented forms create a dynamic composition, reminiscent of early 20th-century Cubism. Faces and objects are deconstructed into angular planes, with a harmonious blend of colors. The use of overlapping and intersecting forms evokes the works of Picasso and Braque, emphasizing abstraction and multiple perspectives.",Not for sale,Oil Painting,Abstract,Cubism,Deconstructed faces and objects,Blue,Cubist1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""Cubism"",""Abstract"",""Geometric"",""Faces"",""Deconstruction""]"
Profile in Planes,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Angular geometric shapes form a stylized human face in profile, with a prominent eye and lips. The composition uses a palette of blues, oranges, and earth tones, reminiscent of early 20th-century Cubism, echoing the works of Picasso and Braque. The texture suggests a layered, impasto technique, adding depth and dimension.",Not for sale,Oil Painting,Abstract,Cubism,Human face,Blue,Cubist2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""Cubism"",""geometric"",""abstract"",""portrait"",""impasto""]"
Neon Artery,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant neon lights illuminate a bustling urban street scene, capturing the essence of a futuristic cityscape. The composition is rich with contrasting colors, primarily reds and blues, creating a dynamic and immersive atmosphere. The technique echoes contemporary digital art, reminiscent of cyberpunk aesthetics with its focus on technology and urban life.",Not for sale,Digital Art,Digital Art,Cyberpunk,Urban street scene,Blue,Cyberpunk1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""cyberpunk"",""urban"",""neon"",""futuristic"",""cityscape""]"
Idle Under Pink Neon,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A motorcycle rests against a weathered wall, bathed in neon pink and blue lighting, creating a stark contrast between the gritty urban setting and the vibrant hues. The composition is reminiscent of cyberpunk aesthetics, blending elements of dystopian futurism with a retro-futuristic vibe. The use of color and light echoes contemporary digital art techniques, evoking a sense of isolation and technological advancement.",Not for sale,Digital Art,Digital Art,Cyberpunk,Motorcycle against an urban wall,Pink,Cyberpunk2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""cyberpunk"",""motorcycle"",""neon"",""urban"",""futuristic""]"
Rain on Chrome,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant neon lights illuminate a rainy urban street, highlighting a sleek motorcycle parked in front of a shop. The scene captures a futuristic cityscape with a blend of traditional Asian architectural elements, reminiscent of cyberpunk aesthetics. The composition uses dramatic lighting and reflections to create a moody, atmospheric effect.",Not for sale,Digital Art,Digital Art,Cyberpunk,Urban street with motorcycle,Teal,Cyberpunk3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""cyberpunk"",""motorcycle"",""neon"",""urban"",""rain""]"
Order in Red and White,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Geometric composition featuring bold lines and primary colors, reminiscent of De Stijl movement with its emphasis on abstraction and simplicity. The interplay of red, black, and white shapes creates a dynamic yet balanced visual experience.",Not for sale,Digital Art,Abstract,De Stijl,Geometric abstraction,Red,DeStilj1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""geometric"",""abstract"",""De Stijl"",""primary colors"",""minimalism""]"
Lines of Balance,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Geometric composition featuring intersecting lines and rectangles in a palette of red, black, and white, reminiscent of De Stijl movement with its emphasis on abstraction and simplicity. The arrangement of shapes creates a dynamic yet balanced visual experience, echoing the works of Piet Mondrian.",Not for sale,Digital Art,Abstract,De Stijl,Geometric abstraction,Red,DeStilj2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""geometric"",""abstract"",""De Stijl"",""lines"",""rectangles""]"
Twin Suns in a Grid,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Geometric composition featuring a grid of rectangles and squares interspersed with two prominent circles, one large and one small, in red. The arrangement of shapes and use of primary colors is reminiscent of De Stijl movement, echoing the works of Piet Mondrian with its emphasis on abstraction and simplicity.",Not for sale,Digital Art,Abstract,De Stijl,Geometric abstraction,Red,DeStilj3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""geometric"",""abstract"",""De Stijl"",""Mondrian"",""minimalism""]"
Smiling Field,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant and whimsical depiction of a field of flowers with a central cartoon-like smiling flower, blending elements of pop art and digital illustration. The playful composition and bright colors evoke a sense of joy and nostalgia, reminiscent of Takashi Murakami's Superflat style.",Not for sale,Digital Illustration,Digital Art,Pop Art,Cartoon flower in a field of flowers,Multicolored with dominant pastel tones,DigitalPopArt1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""flowers"",""cartoon"",""pop art"",""digital"",""whimsical""]"
Flower 23,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Brightly colored flower with a smiling face set against a textured blue background, reminiscent of pop art and contemporary digital aesthetics. The playful, cartoon-like style is enhanced by the vibrant pastel colors and cracked paint effect, creating a sense of nostalgia and whimsy.",Not for sale,Digital Art,Digital Art,Pop Art,Smiling flower,Blue,DigitalPopArt2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""flower"",""smiling"",""pop art"",""digital"",""colorful""]"
Joy in Bloom,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A joyful cartoon-like character with a wide smile is surrounded by colorful flowers, set against a textured, abstract background. The use of thick, impasto brushstrokes and vibrant colors creates a playful and whimsical atmosphere, reminiscent of contemporary pop art styles.",Not for sale,Digital Art,Digital Art,Pop Art,Cartoon character with flowers,Blue,DigitalPopArt3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""cartoon"",""flowers"",""pop art"",""whimsical"",""colorful""]"
Dream of Ash,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A whimsical depiction of a small dog standing confidently amidst swirling clouds and oversized cigarette butts. The composition is playful and surreal, with a cartoonish style reminiscent of pop art. The use of bold outlines and flat colors enhances the graphic quality, creating a dynamic and humorous scene.",Not for sale,Digital Art,Illustration,Pop Art,Dog amidst surreal elements,Blue,DOg1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""dog"",""surreal"",""pop art"",""illustration"",""humor""]"
Flame-Tailed Friend,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Dynamic composition featuring a dog with a joyful expression amidst a surreal scene of oversized matches and flames. The use of bold outlines and flat colors is reminiscent of contemporary pop art and graphic novel illustrations, creating a sense of whimsy and tension.",Not for sale,Digital Illustration,Digital Art,Pop Art,Dog with matches and flames,Orange,DOg2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""dog"",""matches"",""flames"",""pop art"",""surreal""]"
Petals in the Fog,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Narrow urban alleyway enveloped in a misty atmosphere, with intricate networks of wires and vibrant orange flowers contrasting against the cool green tones. The composition evokes a sense of dystopian tranquility, reminiscent of cyberpunk aesthetics and digital impressionism.",Not for sale,Digital Art,Digital Art,Cyberpunk,Urban landscape,Green,Dysto1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""cyberpunk"",""urban"",""alleyway"",""digital"",""futuristic""]"
Vertical Garden City,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A surreal cityscape with towering structures enveloped in lush greenery, creating a harmonious blend of nature and urban elements. The composition draws the eye towards the center, where light filters through, reminiscent of Impressionist techniques. The use of light and shadow evokes a dreamlike atmosphere, echoing contemporary digital art styles.",Not for sale,Digital Art,Digital Art,Surrealism,Futuristic cityscape,Green,Dysto2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surreal"",""cityscape"",""nature"",""futuristic"",""Impressionist""]"
Currents of Color,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Swirling, cloud-like formations in vibrant hues of orange, teal, and coral create a dynamic composition. The intricate layering and textural details evoke a sense of organic growth, reminiscent of contemporary digital art techniques. The interplay of colors and forms suggests a fluid, almost ethereal landscape.",Not for sale,Digital Art,Abstract,Contemporary Digital Art,Abstract forms,Orange,GenerativeArt_testData1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""digital"",""colorful"",""organic"",""contemporary""]"
Pastel Skyline,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Soft pastel-colored geometric forms rise like a cityscape under a clear blue sky with fluffy clouds, creating a dreamlike and whimsical atmosphere. The composition is reminiscent of minimalist and surrealist art, with a focus on clean lines and smooth textures.",Not for sale,Digital Art,Digital Art,Surrealism,Abstract cityscape,Pastel,GenerativeArt_testData2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""pastel"",""geometric"",""cityscape"",""surreal"",""minimalist""]"
Gradient,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Abstract forms resembling cloud-like structures emerge from a gradient of pastel hues, creating a sense of ethereal depth. The composition is reminiscent of Impressionist techniques with a digital twist, evoking a dreamlike atmosphere. The interplay of light and color echoes contemporary digital art practices.",Not for sale,Digital Art,Abstract,Digital Art,Abstract forms,Pastel,GenerativeArt_testData3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""digital"",""pastel"",""cloud-like"",""ethereal""]"
Dance of Dots,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A vibrant composition of overlapping circles and dots in various sizes and colors, creating a playful and dynamic visual rhythm. The use of bold, contrasting hues and organic shapes is reminiscent of Pop Art and Abstract Expressionism. The interplay of colors and forms suggests a sense of movement and energy.",Not for sale,Digital Art,Abstract,Pop Art,Geometric shapes,Multicolored,Medley1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""circles"",""colorful"",""geometric"",""pop art""]"
Harvest in Points,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant arrangement of various fruits and vegetables, utilizing a pointillism technique with bold, dotted patterns. The composition is reminiscent of Impressionist techniques, focusing on color and light interaction. The use of bright primary colors creates a lively and dynamic visual effect.",Not for sale,Digital Art,Still Life,Pointillism,Fruits and vegetables,Red,Medley2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""pointillism"",""fruits"",""vegetables"",""vibrant"",""still life""]"
"Red Circle, Quiet Grid",Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,Geometric abstraction with a grid-like composition featuring rectangles and a prominent red circle. The use of muted tones and textured surfaces echoes the style of early 20th-century modernist painters like Piet Mondrian. The balance of color and form creates a harmonious visual rhythm.,Not for sale,Oil Painting,Abstract,Modernism,Geometric shapes,Beige,Modernist1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""geometric"",""abstraction"",""modernism""]"
Steps in Silk,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Dynamic figures in flowing dresses, captured in mid-motion, evoke a sense of rhythm and unity. The textured surface and muted color palette suggest a fresco-like quality, reminiscent of early 20th-century modernist murals. The composition emphasizes movement and harmony, with overlapping forms creating a sense of depth and continuity.",Not for sale,Mixed media,Abstract,Modernist,Dancing figures,Muted earth tones,Modernist2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""movement"",""dance"",""modernist"",""figures"",""texture""]"
Wild Florals in Pastel Light,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant and textured composition featuring bold, expressive brushstrokes and a dynamic color palette. The chaotic yet harmonious arrangement of flowers against a pastel background evokes a sense of movement and emotion, reminiscent of Neo-Expressionist techniques.",Not for sale,Oil Painting,Abstract,Neo-Expressionism,Floral abstraction,Pink,NeoExpressionism1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""Neo-Expressionism"",""flowers"",""texture"",""vibrant"",""abstract""]"
Sunset Over Saltwater,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant and dynamic composition featuring a textured, abstract seascape with a vivid sunset. Thick impasto technique creates a tactile surface, reminiscent of Neo-Expressionist works. Bold colors and energetic brushstrokes evoke a sense of movement and emotion.",Not for sale,Oil Painting,Abstract,Neo-Expressionism,Seascape with sunset,Blue,NeoExpressionism2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""abstract"",""seascape"",""sunset"",""impasto"",""expressionism""]"
Bus in the Green,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A vibrant pixel art depiction of an orange bus parked in an urban setting, surrounded by lush greenery and utility poles. The composition captures a nostalgic, retro aesthetic reminiscent of early video game graphics, with a focus on detailed textures and a harmonious color palette. The scene evokes a sense of quiet stillness and everyday life.",Not for sale,Digital Art,Digital Art,Pixel Art,Urban landscape with a bus,Orange,PixelArt1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""pixel art"",""bus"",""urban"",""retro"",""digital""]"
Room of Old Light,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Sunlit room filled with nostalgic elements, featuring a vintage television and a cozy armchair. The pixelated style creates a sense of warmth and familiarity, reminiscent of early video game graphics. The composition is balanced with a window view that adds depth and a serene outdoor contrast.",Not for sale,Digital Art,Digital Art,Pixel Art,Interior scene,Blue,PixelArt2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""pixel art"",""interior"",""nostalgia""]"
Pixel Living Room,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant pixel art composition featuring a retro-styled interior with vintage electronics and potted plants. The scene is meticulously detailed with a nostalgic color palette, reminiscent of 1980s aesthetics. The use of pixelation echoes early digital art and video game graphics, creating a sense of warmth and familiarity.",Not for sale,Digital Art,Digital Art,Pixel Art,Retro interior with electronics,Pastel pink,PixelArt3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""pixel art"",""retro"",""electronics"",""vintage"",""interior""]"
Halftone Kiss,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Bold, graphic depiction of lips and nose using vibrant colors and thick outlines, reminiscent of Pop Art techniques popularized by artists like Roy Lichtenstein. The composition focuses on the lower half of a face, emphasizing the contrast between the red lips and the yellow background.",Not for sale,Acrylic Painting,Abstract,Pop Art,Lips and nose,Yellow,PopArt1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""Pop Art"",""Lips"",""Bold Colors"",""Graphic"",""Abstract""]"
Yellow Behind Red,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Bold red lips dominate the composition, surrounded by vibrant blocks of yellow and blue, with dotted patterns reminiscent of Roy Lichtenstein's pop art style. The use of halftone dots and strong outlines echoes the comic book aesthetic, creating a dynamic and playful visual impact.",Not for sale,Digital Art,Pop Art,Pop Art,Lips,Red,PopArt2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""pop art"",""lips"",""comic"",""vibrant"",""halftone""]"
Hands Frame the Heart,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vibrant portrait featuring a young woman with a contemplative expression, framed by her hands. The background is split into pastel blue and pink, enhancing the subject's vivid red lips and soft, curly hair. The use of bold colors and smooth textures is reminiscent of Pop Art, capturing a sense of modernity and nostalgia.",Not for sale,Digital Art,Portrait,Pop Art,Young woman,Pastel blue,Portrait2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""portrait"",""Pop Art"",""vibrant"",""modern"",""nostalgia""]"
Pop Eyes,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Vivid brushstrokes and bold colors create a dynamic portrait reminiscent of Pop Art, with a focus on expressive facial features and vibrant contrasts. The composition highlights the subject's gaze, evoking a sense of contemplation and allure.",Not for sale,Digital Art,Portrait,Pop Art,Female portrait,Yellow,Portraits1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""portrait"",""Pop Art"",""vibrant"",""expressive"",""digital""]"
